SubNr,BlockNr,TrialNr,Reason,CorrectionNr,Duplicate
2,3,6,Extra Notes,Exclude,FALSE
4,3,1,Extra Notes,1,FALSE
10,1,6,Extra Notes,"Removal: 2, Replacement to NA: 1",FALSE
11,1,1,Missing Notes,Exclude,FALSE
7,1,6,Substituted Notes - RowNr 35,Exclude,FALSE
1,2,3,Extra Notes,1,FALSE
1,4,3,Extra Notes,1,FALSE
2,1,6,Extra Notes,1,FALSE
5,1,1,Extra Notes,1,FALSE
5,1,4,Extra Notes,1,FALSE
5,4,5,Extra Notes,1,FALSE
6,1,3,Extra Notes,1,FALSE
6,1,8,Extra Notes,1,FALSE
6,3,4,Extra Notes,2,FALSE
7,1,8,Extra Notes,1,FALSE
8,1,1,Extra Notes,2,FALSE
8,3,2,Extra Notes,1,FALSE
8,4,2,Extra Notes,1,FALSE
9,2,4,Extra Notes,2,FALSE
10,2,8,Extra Notes,1,FALSE
10,3,3,Extra Notes,1,FALSE
11,1,2,Extra Notes,1,FALSE
11,3,1,Extra Notes,1,FALSE
12,1,3,Extra Notes,1,FALSE
12,1,7,Extra Notes,2,FALSE
12,2,1,Extra Notes,1,FALSE
12,3,1,Extra Notes,1,FALSE
13,4,3,Extra Notes,2,FALSE
15,3,3,Extra Notes,1,FALSE
15,3,5,Extra Notes,1,FALSE
15,3,8,Extra Notes,1,FALSE
17,1,2,Extra Notes,1,FALSE
17,1,7,Extra Notes,1,FALSE
17,3,4,Extra Notes,1,FALSE
17,3,6,Extra Notes,1,FALSE
19,1,3,Extra Notes,1,FALSE
19,2,4,Extra Notes,1,FALSE
20,1,3,Extra Notes,1,FALSE
21,3,4,Extra Notes,1,FALSE
21,4,7,Extra Notes,1,FALSE
4,1,1,Missing Notes,1,FALSE
4,1,4,Missing Notes,1,FALSE
4,2,6,Missing Notes,1,FALSE
4,3,6,Missing Notes,1,FALSE
4,3,7,Missing Notes,1,FALSE
6,1,1,Missing Notes,1,FALSE
6,2,7,Missing Notes,1,FALSE
6,3,1,Missing Notes,1,FALSE
6,4,1,Missing Notes,1,FALSE
6,4,6,Missing Notes,1,FALSE
7,2,8,Missing Notes,1,FALSE
7,4,7,Missing Notes,1,FALSE
9,4,3,Missing Notes,1,FALSE
9,4,6,Missing Notes,1,FALSE
10,1,5,Missing Notes,1,FALSE
10,2,3,Missing Notes,2,FALSE
10,2,5,Missing Notes,1,FALSE
10,2,6,Missing Notes,1,FALSE
10,3,1,Missing Notes,1,FALSE
10,4,4,Missing Notes,2,FALSE
13,2,2,Missing Notes,1,FALSE
14,3,2,Missing Notes,1,FALSE
15,1,1,Missing Notes,1,FALSE
15,1,2,Missing Notes,1,FALSE
15,1,4,Missing Notes,1,FALSE
15,2,6,Missing Notes,2,FALSE
15,4,7,Missing Notes,1,FALSE
16,3,6,Missing Notes,1,FALSE
16,4,5,Missing Notes,1,FALSE
17,2,5,Missing Notes,1,FALSE
17,2,8,Missing Notes,1,FALSE
17,3,2,Missing Notes,1,FALSE
19,1,1,Missing Notes,1,FALSE
19,2,3,Missing Notes,1,FALSE
20,3,4,Missing Notes,1,FALSE
10,3,6,Substituted Notes - RowNr 22,1,FALSE
